"entry","species","logratio","sample1means","sample2means"
"1/sp|A6NL28|TPM3L_HUMAN","HUMAN",0.00976408449430148,619277.334858814,593856.702098252
"1/sp|O00303|EIF3F_HUMAN","HUMAN",0.0379844143797905,612152.534838309,575653.252950004
"1/sp|O00743|PPP6_HUMAN","HUMAN",-0.0422372393094667,128464.216595434,127712.265171262
"1/sp|O14776|TCRG1_HUMAN","HUMAN",0.0288272680178104,373663.933890167,353621.830884277
"1/sp|O15067|PUR4_HUMAN","HUMAN",0.1066639743344,541422.682634121,485470.840830817
"1/sp|O43143|DHX15_HUMAN","HUMAN",0.0480213984136948,807951.35642301,754510.159788708
"1/sp|O43252|PAPS1_HUMAN","HUMAN",0.0906961683277795,186194.883832366,168811.19156968
"1/sp|O43615|TIM44_HUMAN","HUMAN",-0.0629831035342683,160811.820599261,162186.062842417
"1/sp|O43681|ASNA_HUMAN","HUMAN",-0.118775580947262,445294.703898587,466808.012190133
"1/sp|O43795|MYO1B_HUMAN","HUMAN",0.35088151352168,56527.351440126,42792.5863668512
"1/sp|O60749|SNX2_HUMAN","HUMAN",-0.000512932569326115,173249.745674824,167325.747148561
"1/sp|O60832|DKC1_HUMAN","HUMAN",-0.00594742588212641,238827.399356871,231531.594250256
"1/sp|O60888|CUTA_HUMAN","HUMAN",-0.161090320985621,408747.525410543,441249.182838575
"1/sp|O75027|ABCB7_HUMAN","HUMAN",-0.0814644871548674,137315.563378859,140274.515175471
"1/sp|O75352|MPU1_HUMAN","HUMAN",-0.0147312775263744,288469.419558732,281365.01499068
"1/sp|O75475|PSIP1_HUMAN","HUMAN",0.0362407320148249,506254.778441745,476645.335278037
"1/sp|O75489|NDUS3_HUMAN","HUMAN",-0.0884240501787105,316034.390252988,324405.639021948
"1/sp|O75643|U520_HUMAN","HUMAN",0.0493571087653509,504835.249593355,471007.107059692
"1/sp|O75964|ATP5L_HUMAN","HUMAN",-0.0150750408731635,436827.460343942,426170.839677388
"1/sp|O94979|SC31A_HUMAN","HUMAN",-0.057235146754622,414625.94158845,416506.444788884
"1/sp|O95373|IPO7_HUMAN","HUMAN",-0.0444315043860297,663134.979466027,660256.843911098
"1/sp|O95747|OXSR1_HUMAN","HUMAN",0.0594881718814153,309826.989970129,287043.213055181
"1/sp|O95831|AIFM1_HUMAN","HUMAN",-0.107899072725068,705355.213086155,733879.061492774
"1/sp|P00491|PNPH_HUMAN","HUMAN",0.0467843374821436,561633.914709244,524935.0785662
"1/sp|P04899|GNAI2_HUMAN","HUMAN",-0.085935574567888,181676.706328351,186167.639651573
"1/sp|P05023|AT1A1_HUMAN","HUMAN",0.0773156988407915,850197.336794148,778002.790686429
"1/sp|P05556|ITB1_HUMAN","HUMAN",0.057167096859148,1240567.18142146,1151190.07344713
"1/sp|P07437|TBB5_HUMAN","HUMAN",0.00243342262978789,8021973.02629205,7731867.86015133
"1/sp|P07602|SAP_HUMAN","HUMAN",0.0121410526020512,1693316.81157505,1621134.91035722
"1/sp|P07737|PROF1_HUMAN","HUMAN",0.0272700314959974,7879210.53418223,7464648.57667933
"1/sp|P07910|HNRPC_HUMAN","HUMAN",-0.295318699576832,6411400.11610224,7596060.70232258
"1/sp|P11177|ODPB_HUMAN","HUMAN",0.0260339950719851,838447.868453445,795014.062378341
"1/sp|P11717|MPRI_HUMAN","HUMAN",-0.0517531712876646,181902.232058956,182034.222911987
"1/sp|P12277|KCRB_HUMAN","HUMAN",0.0813913250361255,2190109.31361748,1998482.36771201
"1/sp|P12429|ANXA3_HUMAN","HUMAN",-0.0758377994926898,485417.804734223,493947.638396762
"1/sp|P13797|PLST_HUMAN","HUMAN",0.058603040186247,701911.95486452,650694.484380687
"1/sp|P13807|GYS1_HUMAN","HUMAN",-0.0298042028380052,136449.208892271,134486.515146575
"1/sp|P14625|ENPL_HUMAN","HUMAN",0.292034514412439,4795871.82241758,3781744.44645017
"1/sp|P17987|TCPA_HUMAN","HUMAN",0.0243727309381048,1725175.74864464,1637691.82253133
"1/sp|P18077|RL35A_HUMAN","HUMAN",-0.00127748381879781,1439044.60837923,1390575.5103331
"1/sp|P20020|AT2B1_HUMAN","HUMAN",-0.0809409332656791,91156.3317688529,93086.8315501841
"1/sp|P20073|ANXA7_HUMAN","HUMAN",-0.0824644251509685,318135.49531927,325216.185743624
"1/sp|P22314|UBA1_HUMAN","HUMAN",0.0387667198756581,2359381.76774606,2217502.06334121
"1/sp|P23193|TCEA1_HUMAN","HUMAN",0.0482710267801002,526345.517369025,491445.83716649
"1/sp|P26196|DDX6_HUMAN","HUMAN",-0.0350520553754993,336865.058026,333229.50226816
"1/sp|P26639|SYTC_HUMAN","HUMAN",-0.108398412656018,1402525.63187295,1459747.49855219
