"entry","species","logratio","sample1means","sample2means"
"1/sp|O43583|DENR_HUMAN","HUMAN",NA,NA,213832.697680659
"1/sp|O75494|SRS10_HUMAN","HUMAN",NA,385645.121071897,NA
"1/sp|P08754|GNAI3_HUMAN","HUMAN",NA,NA,188839.179982742
"1/sp|P42345|MTOR_HUMAN","HUMAN",NA,NA,111014.054473335
"1/sp|P50570|DYN2_HUMAN","HUMAN",NA,102591.494018338,NA
"1/sp|P54725|RD23A_HUMAN","HUMAN",NA,249046.891055437,NA
"1/sp|P61970|NTF2_HUMAN","HUMAN",NA,NA,370267.821024338
"1/sp|Q03135|CAV1_HUMAN","HUMAN",NA,NA,113339.052676957
"1/sp|Q8NCA5|FA98A_HUMAN","HUMAN",NA,98680.6401450431,NA
"1/sp|Q8NFH4|NUP37_HUMAN","HUMAN",NA,NA,107287.782069593
"1/sp|Q92882|OSTF1_HUMAN","HUMAN",NA,NA,55151.2958328095
"1/sp|Q96C86|DCPS_HUMAN","HUMAN",NA,NA,117195.048648559
"2/sp|P31153|METK2_HUMAN/sp|Q00266|METK1_HUMAN","HUMAN",NA,NA,487719.09817314
"1/tr|C8Z3Z0|C8Z3Z0_YEAS8","YEAST",NA,67105.0082026345,NA
"1/tr|C8Z402|C8Z402_YEAS8","YEAST",NA,91124.5234051289,NA
"1/tr|C8Z409|C8Z409_YEAS8","YEAST",NA,54984.3497995597,NA
"1/tr|C8Z5L5|C8Z5L5_YEAS8","YEAST",NA,131072.171346464,NA
"1/tr|C8Z6Q4|C8Z6Q4_YEAS8","YEAST",NA,163587.597832708,NA
"1/tr|C8Z7B3|C8Z7B3_YEAS8","YEAST",NA,173148.494670871,NA
"1/tr|C8Z8F1|C8Z8F1_YEAS8","YEAST",NA,110978.179915564,NA
"1/tr|C8Z8S7|C8Z8S7_YEAS8","YEAST",NA,164461.920114654,NA
"1/tr|C8Z9Q4|C8Z9Q4_YEAS8","YEAST",NA,61597.1062465186,NA
"1/tr|C8ZAT7|C8ZAT7_YEAS8","YEAST",NA,79795.2472366748,NA
"1/tr|C8ZB41|C8ZB41_YEAS8","YEAST",NA,65455.6637788776,NA
