"id"	"species"	"A"	"B"
"1/sp|A6NL28|TPM3L_HUMAN"	"HUMAN"	619277.334858814	593856.702098252
"1/sp|O00303|EIF3F_HUMAN"	"HUMAN"	612152.534838309	575653.252950004
"1/sp|O00743|PPP6_HUMAN"	"HUMAN"	128464.216595434	127712.265171262
"1/sp|O14776|TCRG1_HUMAN"	"HUMAN"	373663.933890167	353621.830884277
"1/sp|O15067|PUR4_HUMAN"	"HUMAN"	541422.682634121	485470.840830817
"1/sp|O43143|DHX15_HUMAN"	"HUMAN"	807951.35642301	754510.159788708
"1/sp|O43252|PAPS1_HUMAN"	"HUMAN"	186194.883832366	168811.19156968
"1/sp|O43583|DENR_HUMAN"	"HUMAN"	NA	213832.697680659
"1/sp|O43615|TIM44_HUMAN"	"HUMAN"	160811.820599261	162186.062842417
"1/sp|O43681|ASNA_HUMAN"	"HUMAN"	445294.703898587	466808.012190133
"1/sp|O43795|MYO1B_HUMAN"	"HUMAN"	56527.351440126	42792.5863668512
"1/sp|O60749|SNX2_HUMAN"	"HUMAN"	173249.745674824	167325.747148561
"1/sp|O60832|DKC1_HUMAN"	"HUMAN"	238827.399356871	231531.594250256
"1/sp|O60888|CUTA_HUMAN"	"HUMAN"	408747.525410543	441249.182838575
"1/sp|O75027|ABCB7_HUMAN"	"HUMAN"	137315.563378859	140274.515175471
"1/sp|O75352|MPU1_HUMAN"	"HUMAN"	288469.419558732	281365.01499068
"1/sp|O75475|PSIP1_HUMAN"	"HUMAN"	506254.778441745	476645.335278037
"1/sp|O75489|NDUS3_HUMAN"	"HUMAN"	316034.390252988	324405.639021948
"1/sp|O75494|SRS10_HUMAN"	"HUMAN"	385645.121071897	NA
"1/sp|O75643|U520_HUMAN"	"HUMAN"	504835.249593355	471007.107059692
"1/sp|O75964|ATP5L_HUMAN"	"HUMAN"	436827.460343942	426170.839677388
"1/sp|O94979|SC31A_HUMAN"	"HUMAN"	414625.94158845	416506.444788884
"1/sp|O95373|IPO7_HUMAN"	"HUMAN"	663134.979466027	660256.843911098
"1/sp|O95747|OXSR1_HUMAN"	"HUMAN"	309826.989970129	287043.213055181
"1/sp|O95831|AIFM1_HUMAN"	"HUMAN"	705355.213086155	733879.061492774
"1/sp|P00491|PNPH_HUMAN"	"HUMAN"	561633.914709244	524935.0785662
"1/sp|P04899|GNAI2_HUMAN"	"HUMAN"	181676.706328351	186167.639651573
"1/sp|P05023|AT1A1_HUMAN"	"HUMAN"	850197.336794148	778002.790686429
"1/sp|P05556|ITB1_HUMAN"	"HUMAN"	1240567.18142146	1151190.07344713
"1/sp|P07437|TBB5_HUMAN"	"HUMAN"	8021973.02629205	7731867.86015133
"1/sp|P07602|SAP_HUMAN"	"HUMAN"	1693316.81157505	1621134.91035722
"1/sp|P07737|PROF1_HUMAN"	"HUMAN"	7879210.53418223	7464648.57667933
"1/sp|P07910|HNRPC_HUMAN"	"HUMAN"	6411400.11610224	7596060.70232258
"1/sp|P08754|GNAI3_HUMAN"	"HUMAN"	NA	188839.179982742
"1/sp|P11177|ODPB_HUMAN"	"HUMAN"	838447.868453445	795014.062378341
"1/sp|P11717|MPRI_HUMAN"	"HUMAN"	181902.232058956	182034.222911987
"1/sp|P12277|KCRB_HUMAN"	"HUMAN"	2190109.31361748	1998482.36771201
"1/sp|P12429|ANXA3_HUMAN"	"HUMAN"	485417.804734223	493947.638396762
"1/sp|P13797|PLST_HUMAN"	"HUMAN"	701911.95486452	650694.484380687
"1/sp|P13807|GYS1_HUMAN"	"HUMAN"	136449.208892271	134486.515146575
"1/sp|P14625|ENPL_HUMAN"	"HUMAN"	4795871.82241758	3781744.44645017
"1/sp|P17987|TCPA_HUMAN"	"HUMAN"	1725175.74864464	1637691.82253133
"1/sp|P18077|RL35A_HUMAN"	"HUMAN"	1439044.60837923	1390575.5103331
"1/sp|P20020|AT2B1_HUMAN"	"HUMAN"	91156.3317688529	93086.8315501841
"1/sp|P20073|ANXA7_HUMAN"	"HUMAN"	318135.49531927	325216.185743624
"1/sp|P22314|UBA1_HUMAN"	"HUMAN"	2359381.76774606	2217502.06334121
"1/sp|P23193|TCEA1_HUMAN"	"HUMAN"	526345.517369025	491445.83716649
"1/sp|P26196|DDX6_HUMAN"	"HUMAN"	336865.058026	333229.50226816
"1/sp|P26639|SYTC_HUMAN"	"HUMAN"	1402525.63187295	1459747.49855219
"1/sp|P28331|NDUS1_HUMAN"	"HUMAN"	338859.139499494	313604.55208215
"1/sp|P29218|IMPA1_HUMAN"	"HUMAN"	180672.228492572	166649.39635964
"1/sp|P30838|AL3A1_HUMAN"	"HUMAN"	435873.496281976	421460.144602548
"1/sp|P31153|METK2_HUMAN"	"HUMAN"	633834.478109707	700553.96060675
"1/sp|P31327|CPSM_HUMAN"	"HUMAN"	4216053.94115703	4095365.07314614
"1/sp|P33992|MCM5_HUMAN"	"HUMAN"	643276.023626667	625292.800314899
"1/sp|P35270|SPRE_HUMAN"	"HUMAN"	100450.655083823	103164.132817646
"1/sp|P37840|SYUA_HUMAN"	"HUMAN"	848282.325000811	750288.619231086
"1/sp|P42345|MTOR_HUMAN"	"HUMAN"	NA	111014.054473335
"1/sp|P46459|NSF_HUMAN"	"HUMAN"	220086.536289546	222719.360831639
"1/sp|P46782|RS5_HUMAN"	"HUMAN"	3188999.80946591	3132249.55840536
"1/sp|P46926|GNPI1_HUMAN"	"HUMAN"	198298.202855521	180734.208264416
"1/sp|P47756|CAPZB_HUMAN"	"HUMAN"	962157.903206129	904826.955020681
"1/sp|P47897|SYQ_HUMAN"	"HUMAN"	382823.734810748	403643.145335382
"1/sp|P48444|COPD_HUMAN"	"HUMAN"	341945.186390053	347636.20569094
"1/sp|P49736|MCM2_HUMAN"	"HUMAN"	759563.896442412	756029.481152519
"1/sp|P50402|EMD_HUMAN"	"HUMAN"	497534.026167871	517718.7055866
"1/sp|P50570|DYN2_HUMAN"	"HUMAN"	102591.494018338	NA
"1/sp|P50991|TCPD_HUMAN"	"HUMAN"	1689994.20178408	1627794.31314254
"1/sp|P51148|RAB5C_HUMAN"	"HUMAN"	356691.153393448	330489.157136103
"1/sp|P51149|RAB7A_HUMAN"	"HUMAN"	769112.292332197	706063.571952488
"1/sp|P51665|PSMD7_HUMAN"	"HUMAN"	168396.775070575	163164.729634876
"1/sp|P51970|NDUA8_HUMAN"	"HUMAN"	128909.761030622	137766.635595422
"1/sp|P52597|HNRPF_HUMAN"	"HUMAN"	796288.092678406	745471.714356715
"1/sp|P53597|SUCA_HUMAN"	"HUMAN"	416575.39436243	421309.028979526
"1/sp|P53618|COPB_HUMAN"	"HUMAN"	326496.393526698	315905.51198853
"1/sp|P54725|RD23A_HUMAN"	"HUMAN"	249046.891055437	NA
"1/sp|P55010|IF5_HUMAN"	"HUMAN"	323406.393663457	341653.460531217
"1/sp|P60891|PRPS1_HUMAN"	"HUMAN"	317386.915026946	308715.525491622
"1/sp|P61586|RHOA_HUMAN"	"HUMAN"	525416.261252649	468466.21256731
"1/sp|P61970|NTF2_HUMAN"	"HUMAN"	NA	370267.821024338
"1/sp|P62304|RUXE_HUMAN"	"HUMAN"	902890.394319577	896494.278026662
"1/sp|P62306|RUXF_HUMAN"	"HUMAN"	521239.770456006	491330.186879362
"1/sp|P62424|RL7A_HUMAN"	"HUMAN"	2738645.50807103	2531561.24774995
"1/sp|P62841|RS15_HUMAN"	"HUMAN"	639114.597765397	664155.361379349
"1/sp|P62906|RL10A_HUMAN"	"HUMAN"	2432479.66340811	2353146.64553297
"1/sp|P62910|RL32_HUMAN"	"HUMAN"	1461424.02248156	1460400.82336851
"1/sp|P63208|SKP1_HUMAN"	"HUMAN"	579479.31559244	556275.750838101
"1/sp|P63220|RS21_HUMAN"	"HUMAN"	623825.946863033	601583.656793213
"1/sp|P68366|TBA4A_HUMAN"	"HUMAN"	2222150.52628141	2144915.52376519
"1/sp|P83731|RL24_HUMAN"	"HUMAN"	2530155.34918708	2392924.59677287
"1/sp|Q00341|VIGLN_HUMAN"	"HUMAN"	251387.945627947	257564.943336815
"1/sp|Q00796|DHSO_HUMAN"	"HUMAN"	293125.405122025	197033.426097322
"1/sp|Q01469|FABP5_HUMAN"	"HUMAN"	939820.92945386	807862.624877958
"1/sp|Q03135|CAV1_HUMAN"	"HUMAN"	NA	113339.052676957
"1/sp|Q04941|PLP2_HUMAN"	"HUMAN"	786645.207492852	772609.761018685
"1/sp|Q09666|AHNK_HUMAN"	"HUMAN"	2196189.4900769	2026072.17834142
"1/sp|Q10589|BST2_HUMAN"	"HUMAN"	415265.77961741	396679.573058027
"1/sp|Q12788|TBL3_HUMAN"	"HUMAN"	178461.00577807	153386.615807134
"1/sp|Q12797|ASPH_HUMAN"	"HUMAN"	417048.49156631	410690.618853257
"1/sp|Q12849|GRSF1_HUMAN"	"HUMAN"	218791.883953004	238119.074167789
"1/sp|Q12874|SF3A3_HUMAN"	"HUMAN"	477828.287474507	465578.08846746
"1/sp|Q13098|CSN1_HUMAN"	"HUMAN"	221369.086548709	206182.453182197
"1/sp|Q13162|PRDX4_HUMAN"	"HUMAN"	1058379.37543106	1004081.60994143
"1/sp|Q13283|G3BP1_HUMAN"	"HUMAN"	717608.663286014	701425.457221051
"1/sp|Q13310|PABP4_HUMAN"	"HUMAN"	723813.29918871	666459.851675257
"1/sp|Q13547|HDAC1_HUMAN"	"HUMAN"	134254.076220271	132257.403166512
"1/sp|Q13619|CUL4A_HUMAN"	"HUMAN"	180275.726565977	190661.066599825
"1/sp|Q13868|EXOS2_HUMAN"	"HUMAN"	228437.714460788	215841.254398536
"1/sp|Q14126|DSG2_HUMAN"	"HUMAN"	174573.957270498	156031.949695932
