"id"	"species"	"A"	"B"
"1/sp|A6NL28|TPM3L_HUMAN"	"HUMAN"	0.0430268029181756	0.0739577875675834
"1/sp|O00303|EIF3F_HUMAN"	"HUMAN"	0.00826038214648389	0.0819902489338391
"1/sp|O00743|PPP6_HUMAN"	"HUMAN"	0.0181819829073805	0.0360420701212107
"1/sp|O14776|TCRG1_HUMAN"	"HUMAN"	0.10476618142344	0.0514939463444511
"1/sp|O15067|PUR4_HUMAN"	"HUMAN"	0.0652261151985065	0.00779910998303761
"1/sp|O43143|DHX15_HUMAN"	"HUMAN"	0.0533019795290963	0.0239422750546178
"1/sp|O43252|PAPS1_HUMAN"	"HUMAN"	0.0668104555742345	0.060352904612192
"1/sp|O43583|DENR_HUMAN"	"HUMAN"	NA	NA
"1/sp|O43615|TIM44_HUMAN"	"HUMAN"	0.0853763592586665	0.0387870331010739
"1/sp|O43681|ASNA_HUMAN"	"HUMAN"	0.17404197069062	0.0271368424115259
"1/sp|O43795|MYO1B_HUMAN"	"HUMAN"	NA	NA
"1/sp|O60749|SNX2_HUMAN"	"HUMAN"	0.0157977504115094	0.000833400338420205
"1/sp|O60832|DKC1_HUMAN"	"HUMAN"	0.0757704515672567	0.0518413020849325
"1/sp|O60888|CUTA_HUMAN"	"HUMAN"	0.0496855632018077	0.0872958366253749
"1/sp|O75027|ABCB7_HUMAN"	"HUMAN"	0.166161991850901	0.0771146977621747
"1/sp|O75352|MPU1_HUMAN"	"HUMAN"	0.0810550479488159	NA
"1/sp|O75475|PSIP1_HUMAN"	"HUMAN"	0.212999510229973	0.176460342190195
"1/sp|O75489|NDUS3_HUMAN"	"HUMAN"	0.0960588641038312	0.0878438132368118
"1/sp|O75494|SRS10_HUMAN"	"HUMAN"	0.0818111719721544	NA
"1/sp|O75643|U520_HUMAN"	"HUMAN"	0.0895138630676246	0.0445279265040287
"1/sp|O75964|ATP5L_HUMAN"	"HUMAN"	0.0907659726315881	0.0459922382381359
"1/sp|O94979|SC31A_HUMAN"	"HUMAN"	0.0288614612314157	0.0315698502498075
"1/sp|O95373|IPO7_HUMAN"	"HUMAN"	0.0714845294706773	0.0324262321490737
"1/sp|O95747|OXSR1_HUMAN"	"HUMAN"	0.145146466161403	0.0513885438084979
"1/sp|O95831|AIFM1_HUMAN"	"HUMAN"	0.0918525179331178	0.0549471200607426
"1/sp|P00491|PNPH_HUMAN"	"HUMAN"	0.0519990506365303	0.142574241019102
"1/sp|P04899|GNAI2_HUMAN"	"HUMAN"	0.0935753470403152	0.0483190946526879
"1/sp|P05023|AT1A1_HUMAN"	"HUMAN"	0.103470380243993	0.00628064538019248
"1/sp|P05556|ITB1_HUMAN"	"HUMAN"	0.0517372047988133	0.0252997963622275
"1/sp|P07437|TBB5_HUMAN"	"HUMAN"	0.0752987660025321	0.0554382011796505
"1/sp|P07602|SAP_HUMAN"	"HUMAN"	0.0606494090199469	0.02508410234935
"1/sp|P07737|PROF1_HUMAN"	"HUMAN"	0.0717667311531633	0.0481647099963805
"1/sp|P07910|HNRPC_HUMAN"	"HUMAN"	0.17850891488582	0.0246706327565777
"1/sp|P08754|GNAI3_HUMAN"	"HUMAN"	NA	NA
"1/sp|P11177|ODPB_HUMAN"	"HUMAN"	0.0495008504757336	0.0319098292763718
"1/sp|P11717|MPRI_HUMAN"	"HUMAN"	0.105255142417228	0.110064743511041
"1/sp|P12277|KCRB_HUMAN"	"HUMAN"	0.0559630441203851	0.0534770713428559
"1/sp|P12429|ANXA3_HUMAN"	"HUMAN"	0.0670239711935135	0.00699630225519161
"1/sp|P13797|PLST_HUMAN"	"HUMAN"	0.0842388808582292	0.0260561033071325
"1/sp|P13807|GYS1_HUMAN"	"HUMAN"	NA	0.203128307591477
"1/sp|P14625|ENPL_HUMAN"	"HUMAN"	0.314963517466378	0.292846598400048
"1/sp|P17987|TCPA_HUMAN"	"HUMAN"	0.0893905494652599	0.0418754478098327
"1/sp|P18077|RL35A_HUMAN"	"HUMAN"	0.106224543197311	0.0330271562366393
"1/sp|P20020|AT2B1_HUMAN"	"HUMAN"	0.092025533544377	0.00196982836553887
"1/sp|P20073|ANXA7_HUMAN"	"HUMAN"	0.0815565627188076	0.0883543230223172
"1/sp|P22314|UBA1_HUMAN"	"HUMAN"	0.0889883722155542	0.0369850016038697
"1/sp|P23193|TCEA1_HUMAN"	"HUMAN"	0.130487033905362	0.0266783286860286
"1/sp|P26196|DDX6_HUMAN"	"HUMAN"	0.0865290629777274	0.252314647600742
"1/sp|P26639|SYTC_HUMAN"	"HUMAN"	0.0599960935603181	0.0536581868960861
"1/sp|P28331|NDUS1_HUMAN"	"HUMAN"	0.185876763109247	0.0905903304573746
"1/sp|P29218|IMPA1_HUMAN"	"HUMAN"	0.109423132736442	0.0184386807347404
"1/sp|P30838|AL3A1_HUMAN"	"HUMAN"	0.059028288360561	0.0348246296416423
"1/sp|P31153|METK2_HUMAN"	"HUMAN"	0.198100685728924	0.0158219957704873
"1/sp|P31327|CPSM_HUMAN"	"HUMAN"	0.0809029181053943	0.0905612635086308
"1/sp|P33992|MCM5_HUMAN"	"HUMAN"	0.084416618743044	0.0426905291321047
"1/sp|P35270|SPRE_HUMAN"	"HUMAN"	0.0619865207955601	0.0849794230944275
"1/sp|P37840|SYUA_HUMAN"	"HUMAN"	0.0782973016120802	0.0262953662123296
"1/sp|P42345|MTOR_HUMAN"	"HUMAN"	NA	0.0186852327868965
"1/sp|P46459|NSF_HUMAN"	"HUMAN"	0.0625073279376104	0.0197783218030408
"1/sp|P46782|RS5_HUMAN"	"HUMAN"	0.0644275889649109	0.0503297148220858
"1/sp|P46926|GNPI1_HUMAN"	"HUMAN"	0.0643030983619707	0.0554886010807625
"1/sp|P47756|CAPZB_HUMAN"	"HUMAN"	0.0761304853694161	0.0385322452857358
"1/sp|P47897|SYQ_HUMAN"	"HUMAN"	0.0697724504487031	0.0254032999471172
"1/sp|P48444|COPD_HUMAN"	"HUMAN"	0.0906587825728916	0.0154476044068548
"1/sp|P49736|MCM2_HUMAN"	"HUMAN"	0.0591341703926316	0.0536542908275226
"1/sp|P50402|EMD_HUMAN"	"HUMAN"	0.0684190953101073	0.0233126808064492
"1/sp|P50570|DYN2_HUMAN"	"HUMAN"	NA	NA
"1/sp|P50991|TCPD_HUMAN"	"HUMAN"	0.0719499626701964	0.0313016965498025
"1/sp|P51148|RAB5C_HUMAN"	"HUMAN"	0.0473508112782054	0.0178289563689438
"1/sp|P51149|RAB7A_HUMAN"	"HUMAN"	0.0820147245284885	0.124090974241
"1/sp|P51665|PSMD7_HUMAN"	"HUMAN"	0.0500846333174044	0.243365565180847
"1/sp|P51970|NDUA8_HUMAN"	"HUMAN"	0.140792733220508	0.0875893811425037
"1/sp|P52597|HNRPF_HUMAN"	"HUMAN"	0.155216635674033	0.0779809202670552
"1/sp|P53597|SUCA_HUMAN"	"HUMAN"	0.221583551282401	0.279454801876626
"1/sp|P53618|COPB_HUMAN"	"HUMAN"	0.106784930778581	0.102583246560076
"1/sp|P54725|RD23A_HUMAN"	"HUMAN"	0.00320916109648094	NA
"1/sp|P55010|IF5_HUMAN"	"HUMAN"	0.0904787011129574	0.155868683800649
"1/sp|P60891|PRPS1_HUMAN"	"HUMAN"	0.0394896092864816	0.0132489581330767
"1/sp|P61586|RHOA_HUMAN"	"HUMAN"	0.0798019311586364	0.00962689161823124
"1/sp|P61970|NTF2_HUMAN"	"HUMAN"	NA	NA
"1/sp|P62304|RUXE_HUMAN"	"HUMAN"	0.108824627623889	0.0972127851959505
"1/sp|P62306|RUXF_HUMAN"	"HUMAN"	0.0464282901945965	0.0479775764006107
"1/sp|P62424|RL7A_HUMAN"	"HUMAN"	0.0768992916408919	0.0199904360930328
