"proteinID"	"species"	"A1"	"A2"	"A3"	"B1"	"B2"	"B3"
"1/sp|C8Z792|AIM9_YEAS8"	"YEAST"	740.703285	787.4803871	761.4737952	381.3631796	395.2296182	377.5247303
"1/sp|C8ZAF8|UTP25_YEAS8"	"YEAST"	120.207565383333	235.979178663333	221.75265497	264.50952208	272.434003625	280.05448743
"1/sp|O00422|SAP18_HUMAN"	"HUMAN"	653.724633633333	668.973966633333	647.609100566667	732.3127891	710.435829433333	777.9713378
"1/sp|O14745|NHRF1_HUMAN"	"HUMAN"	1265.6713979	1235.86679316667	1218.45548363333	1296.8977491	1250.6505375	1266.57449423333
"1/sp|O15143|ARC1B_HUMAN"	"HUMAN"	597.395856133333	584.094433733333	642.880280133333	722.885597933333	661.746023133333	759.688272666667
"1/sp|O15145|ARPC3_HUMAN"	"HUMAN"	1215.0440814	1250.97426296667	1270.70678096667	1233.73673053333	1228.82133963333	1273.19660793333
"1/sp|O43324|MCA3_HUMAN"	"HUMAN"	443.135648633333	453.3629764	457.076534466667	436.6239374	464.5241604	509.535848766667
"1/sp|O60568|PLOD3_HUMAN"	"HUMAN"	1386.802653	1419.87476393333	1475.04429133333	1484.011244	1457.86670566667	1409.27941433333
"1/sp|O60610|DIAP1_HUMAN"	"HUMAN"	550.618548166667	514.378144733333	505.9392563	491.594935366667	481.919141	427.610733966667
"1/sp|O60884|DNJA2_HUMAN"	"HUMAN"	218.899269133333	226.0604352	241.748322466667	243.934777633333	254.490162433333	248.134178066667
"1/sp|O75521|ECI2_HUMAN"	"HUMAN"	316.163009633333	312.372630133333	317.0779404	331.205556	316.048841933333	284.0342943
"1/sp|O75531|BAF_HUMAN"	"HUMAN"	2181.11221756667	2367.04378143333	2235.5513589	2522.87441536667	2261.1482184	2338.2987604
"1/sp|O75569|PRKRA_HUMAN"	"HUMAN"	164.2944487	179.5670201	180.9859084	157.06636705	174.84427875	195.96616845
"1/sp|O75937|DNJC8_HUMAN"	"HUMAN"	1183.59166296667	1150.95153473333	1125.95669786667	1268.51296756667	1243.84240373333	1214.5311927
"1/sp|O76021|RL1D1_HUMAN"	"HUMAN"	1527.89049814333	1440.4809129	1501.24966463333	1513.99982033333	1443.06127916667	1489.3475701
"1/sp|O95816|BAG2_HUMAN"	"HUMAN"	690.294097233333	650.7217518	622.842031066667	637.7668735	668.0445567	670.6279273
"1/sp|P00561|AK1H_ECOLI"	"ECOLI"	120.740314566667	124.39236676	137.871964866667	481.260927	448.330453366667	498.716388966667
"1/sp|P00579|RPOD_ECOLI"	"ECOLI"	265.971081173333	435.648963116667	335.379120996667	1152.10732186667	1277.4443302	1300.84410923333
"1/sp|P00934|THRC_ECOLI"	"ECOLI"	104.26375812	122.836771656667	102.111175753333	456.373696466667	420.609291866667	441.999169166667
"1/sp|P00946|MANA_ECOLI"	"ECOLI"	104.462753416667	110.59030499	104.471030066667	610.909959233333	576.1543342	570.884574733333
"1/sp|P00960|SYGA_ECOLI"	"ECOLI"	248.395756866667	298.534669833333	276.755344133333	1065.14879083333	1032.3433717	1087.9525765
"1/sp|P04075|ALDOA_HUMAN"	"HUMAN"	14263.1120033333	14866.59009	14442.5412833333	15026.16842	14900.3006066667	14530.2723266667
