"proteinID"	"species"	"A1"	"A2"	"A3"	"B1"	"B2"	"B3"
"1433B_HUMAN"	"HUMAN"	NA	NA	NA	250918	259649.5	240532.5
"1433E_HUMAN"	"HUMAN"	661369.666666667	652345.333333333	626790.666666667	516589.666666667	462891.333333333	505965
"1433F_HUMAN"	"HUMAN"	45688.3333333333	48727.3333333333	50472.3333333333	50748	49183.6666666667	51609.6666666667
"1433G_HUMAN"	"HUMAN"	189846	286837	194451.5	249331	209286.666666667	221167.333333333
"1433T_HUMAN"	"HUMAN"	244997	245446	253479.666666667	224900.666666667	207702.333333333	217378.333333333
"1433Z_HUMAN"	"HUMAN"	1090323.33333333	1118176	1001573.33333333	1115660.66666667	1041679.66666667	1158207.33333333
"1A68_HUMAN"	"HUMAN"	541081.5	526100	466512	639859	650486	645894
"2AAA_HUMAN"	"HUMAN"	246776	241825	224012	233478	232762	229219.333333333
"2AAB_HUMAN"	"HUMAN"	25006	22683	29378	22635.5	19732	21743
"4F2_HUMAN"	"HUMAN"	569505.666666667	541361.333333333	484616	575572.666666667	743314.5	622466.333333333
"6PGD_ECOLI"	"ECOLI"	121021.333333333	125085.333333333	103548.666666667	470905	471956.666666667	471231.666666667
"6PGD_HUMAN"	"HUMAN"	17312.3333333333	19020.6666666667	26195	292758.333333333	170962	221227
"6PGL_ECOLI"	"ECOLI"	NA	NA	NA	546510	469890	572801.5
"AAAT_HUMAN"	"HUMAN"	302299.666666667	426849.5	NA	318265.5	300274	327720.5
"AAT_ECOLI"	"ECOLI"	NA	NA	NA	323452	318492	364854
"AATC_HUMAN"	"HUMAN"	56947.6666666667	60048	90971.3333333333	158747.333333333	101734.5	161140.5
"AATM_HUMAN"	"HUMAN"	162791	158730.5	205733.5	100318.666666667	99903	104037
"ABCA4_HUMAN"	"HUMAN"	NA	NA	5355.5	18802.5	12629	NA
"ABCA6_HUMAN"	"HUMAN"	NA	NA	NA	44026	55784.5	54223.5
"ABCAC_HUMAN"	"HUMAN"	NA	NA	1286.5	2967	1439	2880.5
"ABCAD_HUMAN"	"HUMAN"	20124	7031.66666666667	7586	40160.6666666667	42425.6666666667	33958.6666666667
"ABCD3_HUMAN"	"HUMAN"	98613	73477	85411	NA	NA	NA
"ABCE1_HUMAN"	"HUMAN"	46900	57907	41375.6666666667	76688	62167.3333333333	81837.6666666667
"ABCF1_HUMAN"	"HUMAN"	80494	85967.6666666667	81108.3333333333	76183	87149.3333333333	74184.3333333333
"ABDH_ECOLI"	"ECOLI"	NA	NA	NA	58368.3333333333	56173.3333333333	57650.6666666667
"ACACA_HUMAN"	"HUMAN"	65484.6666666667	63182.3333333333	67393.6666666667	72741.3333333333	65152	70595
"ACADM_HUMAN"	"HUMAN"	137990.333333333	130887.333333333	132740.666666667	57554	49413	45826
"ACADV_HUMAN"	"HUMAN"	256434.333333333	232172.333333333	209922	194746.666666667	135700.666666667	180646.333333333
"ACCD_ECOLI"	"ECOLI"	31266	29773	NA	NA	156097.5	182609.5
"ACEA_ECOLI"	"ECOLI"	919859.666666667	758001.333333333	799474	2769772.33333333	2498456	2785255
"ACINU_HUMAN"	"HUMAN"	80857.5	90865.5	83034.5	53291	58781.3333333333	61421.6666666667
"ACKA_ECOLI"	"ECOLI"	NA	NA	NA	391029.666666667	469562	559157
"ACLY_HUMAN"	"HUMAN"	294383.333333333	294390.333333333	480972	287070.333333333	314435.666666667	286256.666666667
"ACOC_HUMAN"	"HUMAN"	98856.3333333333	90454.3333333333	98624.3333333333	78110.3333333333	64439	81555.6666666667
"ACON_HUMAN"	"HUMAN"	259838.666666667	252945.333333333	246294.666666667	180252.666666667	248421.333333333	246323
"ACON1_ECOLI"	"ECOLI"	32486	45656.6666666667	29180	376092.333333333	328191.666666667	336113.333333333
"ACPH_HUMAN"	"HUMAN"	61601.3333333333	60476	56155.3333333333	63164.6666666667	36163	76937.5
"ACRB_ECOLI"	"ECOLI"	NA	NA	NA	48295.5	47390	47354
"ACSA_ECOLI"	"ECOLI"	6550.5	4367.5	NA	74224	67846	69739.3333333333
"ACSL3_HUMAN"	"HUMAN"	269176	269753.333333333	296449	275117.666666667	290857	295868.333333333
"ACSL4_HUMAN"	"HUMAN"	70299.3333333333	83975	68055	55476	62781	NA
"ACTB_HUMAN"	"HUMAN"	2383328	2947117	2397965.33333333	2675525.33333333	2349183	2528516.66666667
"ACTN1_HUMAN"	"HUMAN"	91687	69158.3333333333	84289.5	85591	80429.3333333333	88650
"ACTN4_HUMAN"	"HUMAN"	622395	632964	557498	585504.666666667	563858	598939.666666667
"ADAS_HUMAN"	"HUMAN"	54769	51862.3333333333	71311.5	15073	13098	13444
"ADHE_ECOLI"	"ECOLI"	161609.666666667	169994.333333333	108099.333333333	914372	748464.333333333	727878.666666667
"ADHX_HUMAN"	"HUMAN"	260686.333333333	218766.666666667	234675.333333333	234790.333333333	233318.333333333	252805.333333333
"ADRM1_HUMAN"	"HUMAN"	NA	35441	40527.5	22195.5	26552	25462
"ADT2_HUMAN"	"HUMAN"	386944.333333333	386880.666666667	295749.666666667	368002.333333333	374452.666666667	340070.333333333
"AFG32_HUMAN"	"HUMAN"	27141	24248	22650.5	21297.5	19801	NA
"AG43_ECOLI"	"ECOLI"	NA	NA	NA	NA	44107	33844.6666666667
"AGAL_ECOLI"	"ECOLI"	NA	21580.5	NA	194494.333333333	185195.333333333	158859.333333333
"AGAL_HUMAN"	"HUMAN"	60483.3333333333	59344	60696.3333333333	55854.6666666667	57333	53162.6666666667
"AGRIN_HUMAN"	"HUMAN"	11916.5	10308.5	12474.5	11039.6666666667	11131.5	9343
"AHNK_HUMAN"	"HUMAN"	298573	436039	670548	598026.666666667	513982	437289
"AHNK2_HUMAN"	"HUMAN"	9446	NA	NA	8129	9029.5	NA
"AHPF_ECOLI"	"ECOLI"	NA	NA	NA	50254.5	NA	48948.5
"AIFM1_HUMAN"	"HUMAN"	267364.666666667	232820	250851	74427	NA	NA
"AK1A1_HUMAN"	"HUMAN"	49896	43647.5	45249.5	25206.3333333333	29881	20498.6666666667
"AK1C2_HUMAN"	"HUMAN"	176210.333333333	132272.666666667	186185.666666667	233110.5	249012.5	178035.333333333
"AK1H_ECOLI"	"ECOLI"	6209	3762.5	6724.5	131755.666666667	124857	103495.333333333
"AKAP9_HUMAN"	"HUMAN"	15209	10488	11145	15753	16990.3333333333	16064.6666666667
"AKP13_HUMAN"	"HUMAN"	NA	NA	NA	16072.5	11835	13990
"AL3A2_HUMAN"	"HUMAN"	138558.666666667	142363.333333333	108612	NA	NA	NA
"AL7A1_HUMAN"	"HUMAN"	125303.333333333	126118.666666667	198714.333333333	146104.5	150854	153331
"AL9A1_HUMAN"	"HUMAN"	48292.6666666667	55212.3333333333	76922	49053	45702	54604.3333333333
"ALDA_ECOLI"	"ECOLI"	NA	21826	NA	172676.333333333	163927	183621.666666667
"ALDB_ECOLI"	"ECOLI"	38070.5	30098.5	23707.5	185894	173526	169994.666666667
"ALDH2_HUMAN"	"HUMAN"	104914.666666667	101466	94820	75534.3333333333	85157	82492.6666666667
"ALDOA_HUMAN"	"HUMAN"	959754.666666667	1117590.66666667	1118058.33333333	1023542.66666667	872182	978983.333333333
"ALDOC_HUMAN"	"HUMAN"	370578.5	365440	375089	248209	221274.5	254307
"ALDR_HUMAN"	"HUMAN"	353352.5	353436.5	300772.5	256476	266969.666666667	NA
"ALF_ECOLI"	"ECOLI"	362033	281445	372115.333333333	1192346	1131973	1106478.66666667
"ALF1_ECOLI"	"ECOLI"	26324.3333333333	42131	31086	470397.5	465044	502926.5
"AMPL_HUMAN"	"HUMAN"	96886.6666666667	105199.333333333	89880.6666666667	64226.6666666667	57151.3333333333	74557
"AMPN_ECOLI"	"ECOLI"	15558.6666666667	19017.6666666667	17751.3333333333	157486.333333333	153248	146058
"AN32A_HUMAN"	"HUMAN"	NA	NA	NA	379028.5	NA	394179.5
"ANFY1_HUMAN"	"HUMAN"	14023.5	18510.5	15997	NA	NA	NA
"ANK2_HUMAN"	"HUMAN"	111973	78481.6666666667	NA	87199.3333333333	137881	106192
"ANK3_HUMAN"	"HUMAN"	22653.3333333333	20828	34375.5	12076.3333333333	12404	11941.3333333333
"ANKH1_HUMAN"	"HUMAN"	80149.6666666667	74967.6666666667	73888.3333333333	382174.333333333	407030	434424
"ANLN_HUMAN"	"HUMAN"	21848	20134.5	23201.5	NA	NA	NA
"ANM1_HUMAN"	"HUMAN"	43135.5	41548.6666666667	45106.5	41095.5	46986	44267
"ANR31_HUMAN"	"HUMAN"	10296.5	6910.66666666667	8714	3423	NA	NA
"ANX11_HUMAN"	"HUMAN"	49087.5	54863.5	42996	NA	53052	NA
"ANXA1_HUMAN"	"HUMAN"	759973.666666667	747934	804171.333333333	554799.333333333	601101	529631.666666667
"ANXA2_HUMAN"	"HUMAN"	1047528.66666667	1065897.33333333	1174736	778960	921524.666666667	731557
"ANXA3_HUMAN"	"HUMAN"	112303	171461.5	138666	NA	102668	132296
"ANXA4_HUMAN"	"HUMAN"	37939.5	33997	NA	NA	79314.5	NA
"ANXA6_HUMAN"	"HUMAN"	64130.6666666667	107023.333333333	68732	53522	61215.6666666667	86036.5
"ANXA7_HUMAN"	"HUMAN"	25453	25827.3333333333	27868.3333333333	NA	NA	NA
"AP2A1_HUMAN"	"HUMAN"	92624.5	99496.5	82773	NA	NA	NA
"AP2A2_HUMAN"	"HUMAN"	15631	19766.6666666667	22250.3333333333	23973.5	25648	23929
"AP2B1_HUMAN"	"HUMAN"	172396.333333333	111971.666666667	97613.3333333333	67984.3333333333	62823.3333333333	92527.5
"AP2M1_HUMAN"	"HUMAN"	88584.6666666667	130827.5	75422.6666666667	67033.6666666667	52461.3333333333	60952
"APC_HUMAN"	"HUMAN"	144892	NA	202339.5	NA	NA	NA
"APC1_HUMAN"	"HUMAN"	NA	NA	11621	12404.3333333333	17989	18173.5
"APEX1_HUMAN"	"HUMAN"	139376.333333333	148386.666666667	143056.333333333	139728.333333333	149595.333333333	143726
"API5_HUMAN"	"HUMAN"	175453.333333333	164459.333333333	98577.6666666667	88551	88134	75869.3333333333
"APOB_HUMAN"	"HUMAN"	11285.6666666667	11522	13351.3333333333	8816	11098.3333333333	118652
"ARCA_ECOLI"	"ECOLI"	NA	NA	16597	221999.666666667	198650	232472.666666667
"ARF1_HUMAN"	"HUMAN"	10347.5	29111	9584.5	NA	NA	NA
"ARHG2_HUMAN"	"HUMAN"	26397	21997.5	NA	30195	35956.5	27428.6666666667
"ARL1_HUMAN"	"HUMAN"	34745	35070	29031	21444.5	23069	19493
"ARL8B_HUMAN"	"HUMAN"	77176.5	71962.5	72841.5	NA	NA	NA
"ARO1_YEAS8"	"YEAST"	174710.666666667	185037.666666667	192860.666666667	NA	NA	NA
"ARPC2_HUMAN"	"HUMAN"	117322	126596.333333333	112542.666666667	99671.3333333333	121517.5	143652.5
"ARPC3_HUMAN"	"HUMAN"	128302.5	130404	123655.5	NA	NA	NA
"ARPC4_HUMAN"	"HUMAN"	110874.5	111961.5	95439.5	NA	NA	97611.5
"ARTI_ECOLI"	"ECOLI"	NA	NA	NA	291342	295775.5	329956
"ASNB_ECOLI"	"ECOLI"	6708.5	NA	NA	58738.3333333333	60909.3333333333	56690
"ASNS_HUMAN"	"HUMAN"	77830	75594	84564	NA	NA	NA
"ASPA_ECOLI"	"ECOLI"	66378	78236.5	NA	478571.333333333	451934.666666667	432280
"ASPG2_ECOLI"	"ECOLI"	24996	NA	22016	173378.666666667	159409	226890
"ASPH_HUMAN"	"HUMAN"	227927.666666667	206020	240328	208131.333333333	203665.333333333	239366.666666667
"ASPM_HUMAN"	"HUMAN"	NA	NA	NA	539053.5	581887	388574
"ASSY_HUMAN"	"HUMAN"	107724	95326	142429	204028	182852	121867
"AT1A1_HUMAN"	"HUMAN"	163058.333333333	177309.666666667	222488.666666667	176364	37356.3333333333	128036
"AT2A2_HUMAN"	"HUMAN"	NA	NA	NA	27831.5	30094.6666666667	31825
"AT2B1_HUMAN"	"HUMAN"	17449.5	14846.6666666667	37156.3333333333	20702.3333333333	17716.6666666667	16998.3333333333
"AT5F1_HUMAN"	"HUMAN"	178267	217298.5	178597.333333333	233683.5	181375.333333333	170450.333333333
"ATD3A_HUMAN"	"HUMAN"	157159.333333333	158404.666666667	120511	156548.5	128609.666666667	103801
"ATG2A_HUMAN"	"HUMAN"	25299	23269.5	23724.5	NA	NA	NA
"ATLA3_HUMAN"	"HUMAN"	NA	NA	NA	27147	30211.6666666667	35540
"ATM_HUMAN"	"HUMAN"	345544	392310.5	NA	NA	221254.333333333	376740
"ATP5H_HUMAN"	"HUMAN"	557771.5	563896.5	343541	247845	212567	228937
"ATPA_ECOLI"	"ECOLI"	49214.3333333333	51197	53638.5	350203.333333333	338431.333333333	343630.333333333
"ATPA_HUMAN"	"HUMAN"	674486.666666667	680762	699440.666666667	525483.333333333	508696	498457.333333333
"ATPB_ECOLI"	"ECOLI"	70592	74787	50206.3333333333	602903	637450.333333333	658302.333333333
"ATPB_HUMAN"	"HUMAN"	828071	854083.333333333	806121.333333333	724172.333333333	708674	762550
"ATPG_HUMAN"	"HUMAN"	92061.3333333333	89728.6666666667	137180.5	NA	NA	NA
"ATR_HUMAN"	"HUMAN"	NA	NA	102390	129950	125641	NA
"ATX10_HUMAN"	"HUMAN"	34560.3333333333	41703	45704.6666666667	56816	41092.3333333333	52997.3333333333
"BAF_HUMAN"	"HUMAN"	209092	223891	207504.5	NA	NA	NA
"BAMA_ECOLI"	"ECOLI"	7227	NA	NA	45768.6666666667	65231.5	56055.3333333333
"BAMB_ECOLI"	"ECOLI"	14809.5	15403.5	52667	139807.666666667	150018.333333333	255570
"BAMC_ECOLI"	"ECOLI"	NA	NA	NA	34187	39262	33152.5
"BASI_HUMAN"	"HUMAN"	276186.333333333	264297.333333333	276518.333333333	433220.5	411477.5	402354
"BASP1_HUMAN"	"HUMAN"	737346.333333333	776902.666666667	812948.666666667	721317	748946	817036.333333333
"BAZ1B_HUMAN"	"HUMAN"	57031	55922.6666666667	55609.6666666667	36544.6666666667	28773.6666666667	26005
"BCP_ECOLI"	"ECOLI"	NA	NA	NA	224040	193624.333333333	210708.666666667
"BDP1_HUMAN"	"HUMAN"	34817	28795.3333333333	20708.5	NA	NA	NA
"BFR_ECOLI"	"ECOLI"	158639.5	150123	142669	NA	NA	NA
"BGAL_ECOLI"	"ECOLI"	12857.6666666667	12765.3333333333	12100	129336.666666667	134660	128901
"BGLA_ECOLI"	"ECOLI"	NA	NA	NA	122291.5	119587.5	124951
"BGLR_ECOLI"	"ECOLI"	NA	NA	NA	381128	476830	507970
"BGLX_ECOLI"	"ECOLI"	195185	187113	196287	48555	47931.5	40376.5
"BIEA_HUMAN"	"HUMAN"	45050	47646	43157.5	45390	50623	36699.5
"BIG3_HUMAN"	"HUMAN"	NA	52130.3333333333	NA	80504.5	93786	58099
"BIRC6_HUMAN"	"HUMAN"	8446.33333333333	8518	8479.33333333333	9703.66666666667	9989	7538.66666666667
"BLH1_YEAS8"	"YEAST"	102688.666666667	99398.3333333333	101735.666666667	NA	NA	NA
"BOP1_HUMAN"	"HUMAN"	15718	32886	27088.3333333333	75613	93673	104624
"BRCA2_HUMAN"	"HUMAN"	58826	46322.6666666667	60085.6666666667	23901.3333333333	23258.6666666667	21930.3333333333
"BRNP2_HUMAN"	"HUMAN"	NA	NA	NA	67777.5	78269.5	82641.5
