id;species
P31946;HUMAN
P62258;HUMAN
Q04917;HUMAN
P61981;HUMAN
P27348;HUMAN
P63104;HUMAN
P31947;HUMAN
P30443;HUMAN
P04439;HUMAN
P01892;HUMAN
P13746;HUMAN
Q96QU6;HUMAN
Q4AC99;HUMAN
P30447;HUMAN
P05534;HUMAN
P18462;HUMAN
P30450;HUMAN
P30512;HUMAN
P16188;HUMAN
P16189;HUMAN
P10314;HUMAN
P16190;HUMAN
P30453;HUMAN
P30455;HUMAN
P30457;HUMAN
P30456;HUMAN
P10316;HUMAN
Q09160;HUMAN
P01891;HUMAN
P30459;HUMAN
P01889;HUMAN
P30461;HUMAN
P30460;HUMAN
P30462;HUMAN
P30466;HUMAN
P30685;HUMAN
P18463;HUMAN
Q95365;HUMAN
P03989;HUMAN
P30464;HUMAN
P30475;HUMAN
P30479;HUMAN
P30480;HUMAN
P30483;HUMAN
P30484;HUMAN
Q04826;HUMAN
P30486;HUMAN
P30481;HUMAN
P30487;HUMAN
P18464;HUMAN
P30485;HUMAN
P30490;HUMAN
P30491;HUMAN
P30488;HUMAN
P30493;HUMAN
P30495;HUMAN
P30492;HUMAN
P10319;HUMAN
Q29940;HUMAN
Q29836;HUMAN
Q31612;HUMAN
P18465;HUMAN
P30498;HUMAN
Q31610;HUMAN
Q29718;HUMAN
P30499;HUMAN
P30501;HUMAN
P04222;HUMAN
P30504;HUMAN
Q9TNN7;HUMAN
P10321;HUMAN
P30505;HUMAN
P30508;HUMAN
Q29963;HUMAN
Q07000;HUMAN
Q29960;HUMAN
Q95604;HUMAN
P30510;HUMAN
Q29865;HUMAN
Q15173;HUMAN
Q15172;HUMAN
Q16537;HUMAN
Q14738;HUMAN
Q13362;HUMAN
P30153;HUMAN
P30154;HUMAN
P63151;HUMAN
Q00005;HUMAN
Q66LE6;HUMAN
Q9Y2T4;HUMAN
P01912;HUMAN
P13760;HUMAN
P13761;HUMAN
P04229;HUMAN
Q30134;HUMAN
Q9TQE0;HUMAN
P20039;HUMAN
Q95IE3;HUMAN
Q30167;HUMAN
Q5Y7A7;HUMAN
P01911;HUMAN
Q29974;HUMAN
Q9GIY3;HUMAN
P14060;HUMAN
P26439;HUMAN
Q9H2F3;HUMAN
Q9Y3L3;HUMAN
P78314;HUMAN
O60239;HUMAN
Q7L8J4;HUMAN
P46952;HUMAN
P31937;HUMAN
P29372;HUMAN
P11171;HUMAN
Q13541;HUMAN
Q13542;HUMAN
O60516;HUMAN
Q9NRA8;HUMAN
P08195;HUMAN
P08908;HUMAN
P28222;HUMAN
P28221;HUMAN
P28566;HUMAN
P30939;HUMAN
P28223;HUMAN
P41595;HUMAN
P28335;HUMAN
P46098;HUMAN
O95264;HUMAN
Q8WXA8;HUMAN
Q70Z44;HUMAN
Q13639;HUMAN
A5X5Y0;HUMAN
P47898;HUMAN
P34969;HUMAN
P50406;HUMAN
Q9BXI3;HUMAN
Q96P26;HUMAN
Q9H0P0;HUMAN
Q969T7;HUMAN
P49902;HUMAN
P21589;HUMAN
P56378;HUMAN
P52209;HUMAN
O95336;HUMAN
P05408;HUMAN
P36639;HUMAN
P0DKL9;HUMAN
Q8IZ83;HUMAN
Q676U5;HUMAN
Q8NAA4;HUMAN
P19652;HUMAN
P02763;HUMAN
P20848;HUMAN
P01009;HUMAN
P04217;HUMAN
Q9NQ94;HUMAN
Q5TYW2;HUMAN
Q5SQ80;HUMAN
Q5VUR7;HUMAN
Q4UJ75;HUMAN
A0PJZ0;HUMAN
Q96IX9;HUMAN
P08697;HUMAN
P02750;HUMAN
P01023;HUMAN
A8K2U0;HUMAN
A7E2S9;HUMAN
Q5T5F5;HUMAN
Q9NPC4;HUMAN
Q9UNA3;HUMAN
P05067;HUMAN
Q96GX2;HUMAN
P30542;HUMAN
P29275;HUMAN
P29274;HUMAN
Q6P2N6;HUMAN
P33765;HUMAN
Q9NS82;HUMAN
P22760;HUMAN
Q9NRG9;HUMAN
Q15758;HUMAN
P01011;HUMAN
Q86V21;HUMAN
Q8N5Z0;HUMAN
Q7RTV5;HUMAN
Q6PD74;HUMAN
Q2M2I8;HUMAN
Q9Y478;HUMAN
O43741;HUMAN
P54619;HUMAN
Q9UGJ0;HUMAN
Q9UGI9;HUMAN
Q9H7C9;HUMAN
Q13685;HUMAN
Q13131;HUMAN
P54646;HUMAN
Q9Y312;HUMAN
Q4LEZ3;HUMAN
P86434;HUMAN
Q9BTE6;HUMAN
Q9UDR5;HUMAN
Q8NHS2;HUMAN
P17174;HUMAN
Q9NY61;HUMAN
P00505;HUMAN
Q7Z5M8;HUMAN
Q96GS6;HUMAN
Q5VST6;HUMAN
Q6PCB6;HUMAN
Q7Z5R6;HUMAN
P31941;HUMAN
Q9UH17;HUMAN
Q9NRW3;HUMAN
Q96AK3;HUMAN
Q9HC16;HUMAN
Q8IUX4;HUMAN
Q6NTF7;HUMAN
Q9BZC7;HUMAN
O95477;HUMAN
Q99758;HUMAN
Q8WWZ7;HUMAN
P78363;HUMAN
Q8N139;HUMAN
Q8IZY2;HUMAN
O94911;HUMAN
Q8WWZ4;HUMAN
Q8IUA7;HUMAN
Q4W5N1;HUMAN
Q86UQ4;HUMAN
Q86UK0;HUMAN
Q2M3G0;HUMAN
